SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
57,Prince George,5725156,Early Learning Program,SD57 StrongStart Centre 05,3500 Westwood Dr,Prince George,,250 562-5822,,53.88578944,-122.7789193
57,Prince George,5725057,Early Learning Program,SD57 StrongStart Centre 02,2579 Victoria St,Prince George,,250 567-7201,,53.89857498,-122.756708
57,Prince George,5725154,Early Learning Program,SD57 StrongStart Centre 03,1401 17th Ave,Prince George,,250 562-2737,,53.907636,-122.7520322
57,Prince George,5725155,Early Learning Program,SD57 StrongStart Centre 04,1193 Harper St,Prince George,,250 562-1773,,53.91373369,-122.7777879
57,Prince George,5725280,Early Learning Program,SD57 StrongStart Centre 06,251 Ogilvie St S,Prince George,,250 964-4334,,53.9228984,-122.7893936
57,Prince George,5725314,Early Learning Program,SD57 StrongStart Centre 08,7151 Heather Park Rd,Prince George,,250 962-6966,,53.9948315,-122.8089614
50,Queen Charlotte,5025053,Early Learning Program,Tahayghen StrongStart Centre,2151 Tahayghen Dr,Masset,,250 626-5572,,54.015028,-132.1491875
91,Nechako Lakes,9125310,Early Learning Program,W L Mcleod StrongStart Centre,187 E Victoria,Vanderhoof,,250 567-2267,,54.01954994,-124.0071089
82,Coast Mountains,8225184,Early Learning Program,Kildala StrongStart Centre,803 Columbia Ave E,Kitimat,,250 632-9194,,54.050307,-128.6600545
52,Prince Rupert,5225055,Early Learning Program,Pineridge StrongStart Centre,1700 Sloan Ave,Prince Rupert,,250 627-7054,250 627-7054,54.2987741,-130.3366571
52,Prince Rupert,5225421,Early Learning Program,Lax Kxeen StrongStart Centre,601 William Booth Way,Prince Rupert,,250 624-6218,,54.318046,-130.309636
52,Prince Rupert,5225010,Early Learning Program,Conrad StrongStart Centre,825 Conrad St,Prince Rupert,,250 624-4935,250 627-4164,54.3209013,-130.3002244
54,Bulkley Valley,5425153,Early Learning Program,Silverthorne StrongStart Centre,3455 13th St,Houston,,250 845-2228,250 845-3553,54.3976,-126.645
91,Nechako Lakes,9125186,Early Learning Program,David Hoy StrongStart Centre,733 W 4 Ave,Fort St. James,,250 886-8237,,54.44800261,-124.2577652
82,Coast Mountains,8225386,Early Learning Program,Cassie Hall StrongStart Centre,2620 Eby St,Terrace,,250 635-5646,,54.50890515,-128.5985443
82,Coast Mountains,8225307,Early Learning Program,Thornhill StrongStart Centre,3860 Paquette Ave,Terrace,,250 635-7066,,54.5111094,-128.5382809
54,Bulkley Valley,5425022,Early Learning Program,Muheim Memorial StrongStart Centre,3569 3rd Ave,Smithers,,250 847-2688,250 847-4734,54.7781195,-127.1673682
57,Prince George,5725281,Early Learning Program,SD57 StrongStart Centre 07,310 Nechako Dr,Mackenzie,,250 997-6340,,55.34084118,-123.1035243
59,Peace River South,5925283,Early Learning Program,Don Titus StrongStart Centre,5304 47 Ave,Chetwynd,,250 788-2531,,55.69882295,-121.6375479
59,Peace River South,5925060,Early Learning Program,Tremblay StrongStart Centre,11311 13A St,Dawson Creek,,250 782-8147,250 782-7043,55.7466022,-120.2398245
60,Peace River North,6025285,Early Learning Program,Hudson's Hope StrongStart Centre,10441 Holland St,Hudson's Hope,,250 783-9994,,56.02602412,-121.9222536
60,Peace River North,6025061,Early Learning Program,Duncan Cran StrongStart Centre,8130 89 Ave,Fort St John,,250 787-0417,,56.23583443,-120.8144913
60,Peace River North,6025159,Early Learning Program,Robert Ogilvie StrongStart Centre,9907 86 St,Fort St John,,250 785-3704,,56.2459145,-120.820421
19,Revelstoke,1925001,Early Learning Program,Begbie View StrongStart Centre,1001 Mackenzie Avenue,Revelstoke,,250 805-2306,,50.9921652,-118.202174
