,name,source_full_address,full_address,street_number,street_name,unit,city,province,provider
9339,Boys' & Girls' Club - Agnes Hodge JK/SK Program,,nan,52,Clench Avenue,,Brantford,ON,Province of Ontario
723,ORIGINS NLC 132,99 Burpee Avenue Saint John E2K 3V9 (506) 634-1979,99 burpee avenue ,99,burpee avenue,,,,Province of New Brunswick
11457,Kool Kids Day Care and Montessori,,nan,3400,Riverspray Crescent,,Mississauga,ON,Province of Ontario
8513,POMME AVENTURE DRUMMONDVILLE,"2020, rue Lamothe",2020 rue Lamothe,2020,rue lamothe,,Drummondville,,Province of Quèbec
15277,NOTRE DAME YMCA SCHOOL AGE PROGRAM,,nan,767,Valetta Street,,London,ON,Province of Ontario
16400,Sussex Co-Op Nursery School,853A Main Street. Sussex NB,853a main street ,853a,main street,,Sussex,New Brunswick,GoDayCare.com
22527,Puddle Jumpers Childcare Services,1561 India Ave,1561 India Ave,1561,india ave,,Prince Rupert,,Province of British Columbia
2252,GREEN DOOR NURSERY SCHOOL #2,"#227, 231 - 153 AVE SE",#227 231 153 AVE SE,231,153 ave se,#227,CALGARY,,Province of Alberta
21302,L'ecole Des Petits Oursons,675 Lequime Road,675 Lequime Road,675,lequime road,,Kelowna,,Province of British Columbia
12175,Morna Day Care Services - PHDC,,nan,42,Scarboro Crescent,,Toronto,ON,Province of Ontario
16194,Garderie Des Apprentis-Sages,34 Rue Stanley Campbellton NB,34 rue stanley ,34,rue stanley,,Campbellton,New Brunswick,GoDayCare.com
21738,Tsan Chester Childcare,40415 Friedel Cres,40415 Friedel Cres,40415,friedel cres,,Garibaldi Highlands,,Province of British Columbia
158,Best Beginnings Preschool and Afterschool Centre,58 Hanselpacker Road Harvey Station E6K 1A3 (506) 261-9918,58 hanselpacker road ,58,hanselpacker road,,,,Province of New Brunswick
9997,A Child's Place Daycare Centre (Church of St. Jude),,nan,10,Howarth Avenue,,Toronto,ON,Province of Ontario
9974,Chippewas of Georgina Island First Nation - Nigaan Naabiwag,,nan,84,Morning Road,,Georgina Island,ON,Province of Ontario
19648,Kinder Kampus - Heritage Mountain,300 Panorama Pl,300 Panorama Pl,300,panorama pl,,Port Moody,,Province of British Columbia
16045,L'll Lighthouse Christian Preschool,Village Way Qualicum Beach BC,village way ,,village way,,Qualicum Beach,British Columbia,GoDayCare.com
