,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
85,2020-02-29,1584333 Ontario Inc.,Child Care Centre,Central North Region,City of Toronto,Learning Jungle School - Buttonwood Campus (1584333 Ontario Inc.),2340,Full Day(6 hours or more in a day),2003-11-26,Active,,English,100,Allanhurst,Drive,Toronto,ON,M9A 4K4,
86,2020-02-29,1594210 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Active Kids Daycare,2483,Full Day(6 hours or more in a day),2004-04-30,Active,,English,977,Pantera,Drive,Mississauga,ON,L4W 2W6,
87,2020-02-29,1612872 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Little Rascals Preschool,2469,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2004-04-16,Active,,English,158A,Queen,Street,Mississauga,ON,L5M 1K8,
88,2020-02-29,1619135 Ontario Inc.,Child Care Centre,Central East Region,City of Toronto,Bluebird Montessori School (Mini),56364,Full Day(6 hours or more in a day),2015-12-30,Active,,English,905 A,Broadview,Avenue,Toronto,ON,M4K 2R2,
89,2020-02-29,1619135 Ontario Inc.,Child Care Centre,Central East Region,City of Toronto,Bluebird Montessori School (North),56365,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2015-12-30,Active,,English,958,Broadview,Avenue,Toronto,ON,M4K 2R6,
90,2020-02-29,1619135 Ontario Inc.,Child Care Centre,Central East Region,City of Toronto,Bluebird Montessori School South,56363,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2015-12-30,Active,,English,515,Broadview,Avenue,Toronto,ON,M4K 2N6,
91,2020-02-29,1626269 Ontario Inc.,Child Care Centre,Central North Region,Regional Municipality of York,NUF House Academy,4583,"Full Day(6 hours or more in a day), Before school, After school",2008-05-27,Active,,English,80,Glen Shields,Avenue,Vaughan,ON,L4K 1T7,
92,2020-02-29,1642332 Ontario Inc.  (Its Playtime Childcare Centre),Child Care Centre,Central East Region,City of Toronto,Its Playtime Childcare Centre,4265,Half day(Less than 6 hours in a day),2007-08-15,Inactive,2014-02-10,English,1423,Danforth,Avenue,Toronto,ON,M4J 1N3,
93,2020-02-29,1668345 Ontario Inc.,Child Care Centre,Southwest Region,Regional Municipality of Waterloo,Child Care Plus,3535,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2006-05-19,Active,,English,14,Jansen,Avenue,Kitchener,ON,N2A 2L3,
94,2020-02-29,1672191 Ontario Ltd. - Royal Cachet Montessori School,Child Care Centre,Central North Region,Regional Municipality of York,Royal Cachet Montessori School,4251,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2007-05-14,Active,,English,9921,Woodbine,Avenue,Markham,ON,L6C 1H7,
95,2020-02-29,1672191 Ontario Ltd. - Royal Cachet Montessori School,Child Care Centre,Central North Region,Regional Municipality of York,Royal Cachet Montessori School Stouffville,56257,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2015-10-26,Active,,English,160,Mostar,Street,Stouffville,ON,L4A 0Y2,
