CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GBSNI,Numaykoos Sakaheykun,Undetermined,,Indian Reserve,Administrative Area,IR,5b208b0f9eb9417a9dcbf6f26a4cfedd,56.535648,-97.843044,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GATTN,Nunalla,Undetermined,,Locality,Populated Place,UNP,f5e9dacdbeed11d892e2080020a0f4c9,59.923889,-94.827778,,Manitoba,50000,1947-07-03,Manitoba-Sustainable Development
GATTV,Nutimik Lake,Undetermined,,Locality,Populated Place,UNP,f6055211beed11d892e2080020a0f4c9,50.1475,-95.691389,"14-13,14-E",Manitoba,250000,1973-11-26,Manitoba-Sustainable Development
GATYY,O'Day,Undetermined,,Railway Point,Populated Place,UNP,fdbb80f9beed11d892e2080020a0f4c9,57.5775,-94.203889,,Manitoba,250000,1949-04-07,Manitoba-Sustainable Development
GATZW,O'Hanly,Undetermined,,Post Office,Populated Place,UNP,fee50ce7beed11d892e2080020a0f4c9,50.829167,-96.319444,"32,33-21-9-E",Manitoba,50000,1983-05-25,Manitoba-Sustainable Development
GZABQ,O-Pipon-Na-Piwin Cree Nation 1,Undetermined,,Indian Reserve,Administrative Area,IR,56ac5951ffb211dda89a080020a0f4c9,56.7805523,-98.9186244,,Manitoba,50000,2007-03-19,Indigenous and Northern Affairs Canada
GATUJ,Oak Bluff,Undetermined,,Community,Populated Place,UNP,f72a712abeed11d892e2080020a0f4c9,49.773611,-97.321389,25-9-1-E,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
GATUK,Oak Brae,Undetermined,,Locality,Populated Place,UNP,f7340e1bbeed11d892e2080020a0f4c9,51.448611,-99.87,36-28-18-W,Manitoba,250000,1994-03-31,Manitoba-Sustainable Development
GATUZ,Oak Hammock Marsh Wildlife Management Area,Undetermined,,Wildlife Management Area,Administrative Area,PARK,f8310bc1beed11d892e2080020a0f4c9,50.188333,-97.136667,14-3-E,Manitoba,1000000,1978-07-21,Manitoba-Sustainable Development
GATVI,Oak Island Settlement,Undetermined,,Settlement,Administrative Area,GEOG,f83ec763beed11d892e2080020a0f4c9,49.683333,-96.929167,,Manitoba,50000,1994-03-31,Manitoba-Sustainable Development
