,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
823,SUNRISE LEARNING DAY CARE,DAY CARE PROGRAM,7DE1BA28C38A64BB657EF2EBF99677CF,40,Day Care,EDMONTON,13820 109A AVENUE NW,T5M2K1,Province of Alberta
824,PRAIRIE CHRISTIAN ACADEMY PRESCHOOL,PRE-SCHOOL PROGRAM,7DE2698BC41E20BA6E0E3F0C0DDB5406,24,Day Care,THREE HILLS,1027 - 4 STREET NORTH,T0M2A0,Province of Alberta
826,FORT ROAD DAY CARE,DAY CARE PROGRAM,86DC472F2824BBE2A01A046F276BB688,64,Day Care,EDMONTON,176/204/208 MANNING CROSSING,T5A5A1,Province of Alberta
827,SPRINGHILL COMMUNITY PRESCHOOL,PRE-SCHOOL PROGRAM,88281F279AEA5C8B25F5CAB74D7FA856,18,Day Care,EDMONTON,7730 106 STREET,T6E4W3,Province of Alberta
828,FORT MACLEOD PRESCHOOL PROGRAM,PRE-SCHOOL PROGRAM,915FA31761D30192647DBCF119E1C746,24,Day Care,FORT MACLEOD,1905 - 5TH AVE,T0L0Z0,Province of Alberta
829,ST. BASIL'S SADOCHOK,PRE-SCHOOL PROGRAM,9225D745280ABBBE314321ACD8146808,15,Day Care,EDMONTON,10819 71 AVENUE,T6E0X8,Province of Alberta
830,SEXSMITH PLAYSCHOOL,PRE-SCHOOL PROGRAM,A6F1E4F0D8C02966D341032B20FD782C,24,Day Care,SEXSMITH,9802 103 STREET,T0H3C0,Province of Alberta
831,INDUS PRESCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,B0B5D1ABC3D7D1647E83694028CFBF60,20,Day Care,INDUS,225155 RR#281A (INDUS),T1X0H7,Province of Alberta
832,CANYON CREEK EARLY LEARNING CENTRE,DAY CARE PROGRAM,C7CD695FD4D0855EED4C6BD432F5A044,40,Day Care,PINCHER CREEK,408 VICTORIA CRESCENT,T0K1W0,Province of Alberta
833,PANDA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,C9EE9257E74BF4B1198198EAFDCDA227,97,Day Care,CALGARY,1507 19 AVENUE NW,T2M1A9,Province of Alberta
834,FUNSHINE CHILD DEVELOPMENT CENTRE LTD. OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,CD25B5E7E0B30443FD990D8B903D89B2,12,Day Care,MUNDARE,5219-50 STEET,T0B3H0,Province of Alberta
835,NOTTINGHAM CHILD CARE,DAY CARE PROGRAM,D48108B3EFAD8EDD7FE5B12E7E3EB57B,80,Day Care,SHERWOOD PARK,110 664 WYE ROAD,T8A6G3,Province of Alberta
836,WILDFLOWERS CHILDCARE,DAY CARE PROGRAM,D93FEB4B3FE05DA6CE1949E0D51F9035,83,Day Care,JASPER,303 BONHOMME STREET,T0E1E0,Province of Alberta
838,CANYON CUBS PRESCHOOL,PRE-SCHOOL PROGRAM,D9CF13E0803C36259353C4413B40E39F,22,Day Care,PINCHER CREEK,408 VICTORIA CRESCENT,T0K1W0,Province of Alberta
839,LITTLE EINSTEINS DAYCARE AT ST. ALBERT INC.,DAY CARE PROGRAM,DA7CA99EEC6917E07692F8823BAD56C3,104,Day Care,ST. ALBERT,"100, 1 TACHE STREET",T8N1B4,Province of Alberta
840,SILVER SPRINGS DAY CARE CENTRE,DAY CARE PROGRAM,E006F4F24E5B2E53849A5865538BB4AF,30,Day Care,CALGARY,7204 SILVERMEAD ROAD NW,T3B3V2,Province of Alberta
842,A.L. HORTON AFTER SCHOOL CARE PROGRAM,OUT OF SCHOOL CARE PROGRAM,E3F1D31FC91B8698B4A0B15258B513F0,60,Day Care,VEGREVILLE,5037-48 AVENUE,T9C1L8,Province of Alberta
844,CHESTERMERE REGIONAL COMMUNITY ASSOCIATION,OUT OF SCHOOL CARE PROGRAM,EB66F87971CB7CACD653B9B21C23970B,60,Day Care,CHESTERMERE,201 WEST CHESTERMERE DRIVE,T1X1B2,Province of Alberta
845,KIDS & COMPANY - BLACKMUD CREEK OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,F1A3C25098B98793BBD44D1CDE28F93A,27,Day Care,EDMONTON,1006 103A STREET,T6W2P6,Province of Alberta
846,MECCA GLEN PLAYSCHOOL,PRE-SCHOOL PROGRAM,F57FDB3897EC80662DFC59C75AA76995,18,Day Care,PONOKA,NE 32 42 23 W4,T4J1R1,Province of Alberta
