,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4324,PARENT'S PEACE OF MIND - EAST,Child Care Centre,Active,344,Merritt Street,St. Catharines,ON,L2T 1K6,Province of Ontario
4325,PARENT'S PEACE OF MIND - WEST,Child Care Centre,Active,256,St.Paul Street,St. Catharines,ON,L2S 2E7,Province of Ontario
4326,Parents' Peace of Mind,Child Care Centre,Active,20,ernest Street,St. Catharines,ON,L2N 7T2,Province of Ontario
4327,Cobblestone School Age Program,Child Care Centre,Active,179,Grandville Circle,Paris,ON,N3L 2N2,Province of Ontario
4328,Glen Morris School Age Program,Child Care Centre,Inactive,522,Glen Morris Road,Glen Morris,ON,N0B 1W0,Province of Ontario
4329,Holy Family Child Care,Child Care Centre,Active,20,Sunset Drive,Paris,ON,N3L 3W4,Province of Ontario
4330,North Ward School-age Program,Child Care Centre,Active,107,Silver Street,Paris,ON,N3L 1V2,Province of Ontario
4331,Paris Central School Age Program,Child Care Centre,Inactive,7,Broadway Street,Paris,ON,N3L 2R2,Province of Ontario
4332,Paris Child Care,Child Care Centre,Inactive,199,Grand River Street,Paris,ON,N3L 2N2,Province of Ontario
4333,Sacred Heart Child Care,Child Care Centre,Active,180,Grandville Circle,Paris,ON,N3L 2G8,Province of Ontario
4334,Park Child Care Centre,Child Care Centre,Active,795,Park Road,Oshawa,ON,L1J 4J9,Province of Ontario
4335,Humber Bay Child Care Centre (Park Lawn Preschool Inc.),Child Care Centre,Active,50,Cloverhill Road,Toronto,ON,M8Y 1T3,Province of Ontario
4336,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Child Care Centre,Active,45,Cloverhill Road,Toronto,ON,M8Y 1T4,Province of Ontario
4337,Park Lawn Preschool Inc.,Child Care Centre,Active,71,Ballacaine Drive,Toronto,ON,M8Y 4B6,Province of Ontario
4338,Parkdale Montessori School,Child Care Centre,Active,555,Parkdale Avenue,Ottawa,ON,K1Y 1H9,Province of Ontario
4339,PARKHILL CO-OPERATIVE PLAYSCHOOL,Child Care Centre,Active,225,McLeod Street,Parkhill,ON,N0M 2K0,Province of Ontario
4340,PARKSIDE CHILDCARE CENTRE,Child Care Centre,Inactive,355,Wellington Street,Ingersoll,ON,N5C 1T2,Province of Ontario
4341,Parkside Childcare Centre,Child Care Centre,Inactive,30,Caffyn Street,Ingersoll,ON,N5C 3T9,Province of Ontario
4342,Parkside Daycare Inc.,Child Care Centre,Active,145,Hamilton Street,Waterdown,ON,L0R 2H6,Province of Ontario
4343,Parkview Day Care,Child Care Centre,Active,89,Speedvale Avenue,Guelph,ON,N1E 1M3,Province of Ontario
4344,Parkway Day Care BASP-Walpole,Child Care Centre,Active,1895,Haldimand Road 55 Road,Hagersville,ON,N0A 1H0,Province of Ontario
4345,Parkway Day Care Centre Inc.,Child Care Centre,Active,85,Nanticoke Creek Parkway,Townsend,ON,N0A 1S0,Province of Ontario
4346,Parkway Daycare BASP - Jarvis,Child Care Centre,Active,14,Monson Street,Jarvis,ON,N0A 1J0,Province of Ontario
4347,PARKWOOD CHILDREN'S DAY CARE CENTRE OF LONDON,Child Care Centre,Active,801,Commissioners Road,London,ON,N6C 5J1,Province of Ontario
4348,Evergreen After School Program,Child Care Centre,Inactive,2510,Highway 592,Emsdale/Perry Township,ON,P0A 1J0,Province of Ontario
4349,Fairview Early Learning and Child Care Centre,Child Care Centre,Active,152,Fairview Lane,Powassan,ON,P0H 1Z0,Province of Ontario
4350,First Steps Child Care Centre,Child Care Centre,Active,1,Beechwood Drive,Parry Sound,ON,P2A 1J2,Province of Ontario
4351,Highlands Early Learning Centre,Child Care Centre,Inactive,301,Birchdale Road,Perry,ON,P0A 1J0,Province of Ontario
4352,Highlands Early Learning and Child Care Centre,Child Care Centre,Inactive,,Hwy 592,Emsdale,ON,P0A 1J0,Province of Ontario
4353,Highlands Early Learning and Child Care Centre,Child Care Centre,Active,2500,Highway #592,Emsdale/Perry Township,ON,P0A 1J0,Province of Ontario
4354,Sundridge After School Program,Child Care Centre,Inactive,110,Main Street,Sundridge,ON,P0A 1Z0,Province of Ontario
4355,Waubeek Early Learning & Child Care Centre,Child Care Centre,Active,64,Waubeek Street,Parry Sound,ON,P2A 1C6,Province of Ontario
4356,Waubeek Early Learning and Child Care Centre,Child Care Centre,Active,66,Waubeek Street,Parry Sound,ON,P2A 1C6,Province of Ontario
4357,Child Care Resources - Home Child Care,Home Child Care Agency,Active,1,Beechwood Drive,Parry Sound,ON,P2A 1J2,Province of Ontario
4358,Miigwansag Child Care Centre,Child Care Centre,Active,86,Gibson Street,Parry Sound,ON,P2A 1X5,Province of Ontario
4359,Pat Schulz Child Care Centre,Child Care Centre,Active,1,Danforth Avenue,Toronto,ON,M4K 1M8,Province of Ontario
4360,Brackendale Montessori - Ajax,Child Care Centre,Active,1485,Harwood Avenue,Ajax,ON,L1T 4T9,Province of Ontario
4361,Pathway Childcare Centre Inc.,Child Care Centre,Active,25,Ruth Avenue,Brampton,ON,L6Z 3X3,Province of Ontario
4362,Wee Watch Nepean,Home Child Care Agency,Active,25,Barrhaven Crescent,Ottawa,ON,K2J 1E7,Province of Ontario
4363,Pawsitively Pets For Kids Inc,Child Care Centre,Active,125,Brentcliffe Road,Toronto,ON,M4G 3Y7,Province of Ontario
4364,Peace of Mind Montessori School,Child Care Centre,Active,354,Upper Middle Road,Oakville,ON,L6H 7H4,Province of Ontario
4365,South Porcupine ABC Early Childhood Education Centre,Child Care Centre,Inactive,88,Moore Street,South Porcupine,ON,P0N 1H0,Province of Ontario
4366,Pearson Community Co-op Nursery School Inc,Child Care Centre,Active,2330,Duncaster Drive,Burlington,ON,L7P 4S6,Province of Ontario
4367,Pearson Community Co-op Nursery School Inc.,Child Care Centre,Inactive,1433,Headon Road,Burlington,ON,L7M 1V7,Province of Ontario
4368,Peek-A-Bears Child Care Inc.,Child Care Centre,Inactive,2032,Gerrard Street,Toronto,ON,M4E 2B1,Province of Ontario
4369,Beesmart Child Care Centre,Child Care Centre,Inactive,1305,Williams Parkway,Brampton,ON,L6S 3J8,Province of Ontario
4370,Tiny Trojans Child Care Centre,Child Care Centre,Inactive,7935,Kennedy Road,BRAMPTON,ON,L6W 0A2,Province of Ontario
4371,West Credit Child Care Centre,Child Care Centre,Active,6325,Montevideo Road,Mississauga,ON,L5N 4G7,Province of Ontario
4372,Peel Explore & Learn - Countryside Village PS,Child Care Centre,Active,40,Dolbyhill Road,Brampton,ON,L6R 3V8,Province of Ontario
4373,Peel Explore & Learn - Walnut Grove PS,Child Care Centre,Active,10,Pinestaff Road,Brampton,ON,L6P 0K4,Province of Ontario
4374,Peel Explore and Learn Centres Inc - Countryside Village PS,Child Care Centre,Inactive,12175,Bramalea Road,Caledon,ON,L7C 2P9,Province of Ontario
4375,Peel Montessori School,Child Care Centre,Active,964,Meadow Wood Road,Mississauga,ON,L5J 2S6,Province of Ontario
4376,Cathedral's Garden,Child Care Centre,Active,200,Isabella Street,Pembroke,ON,K8A 5S7,Province of Ontario
4377,Pembroke Co-operative Nursery School Inc. (Highviews Garden),Child Care Centre,Active,320,Herbert Street,Pembroke,ON,K8A 2Y4,Province of Ontario
4378,The Children's Garden Nursery School,Child Care Centre,Active,375,Doran Street,Pembroke,ON,K8A 4N3,Province of Ontario
4379,Homemade Tales L.F.H.C.C.,Home Child Care Agency,Inactive,375,Doran Street,Pembroke,ON,K8A 4N3,Province of Ontario
4380,Peoples Christian Academy Early Learning Centre,Child Care Centre,Active,245,Renfrew Drive,Markham,ON,L3R 6G3,Province of Ontario
4381,Perry House Child Care Services,Child Care Centre,Active,129,Perry Street,Whitby,ON,L1N 4B7,Province of Ontario
4382,Perry House Child Care Services III,Child Care Centre,Active,127,Perry Street,Whitby,ON,L1N 4B7,Province of Ontario
4383,Perry House Child Care Services Too,Child Care Centre,Active,135,Perry Street,Whitby,ON,L1N 4B7,Province of Ontario
4384,Carleton Village Early Learning Centre,Child Care Centre,Inactive,315,Osler Street,Toronto,ON,M6N 2Z4,Province of Ontario
4385,General Mercer Early Learning Centre (OP: Perth Academy),Child Care Centre,Inactive,30,Turnberry Avenue,Toronto,ON,M6N 1P8,Province of Ontario
4386,Perth Early Learning Centre,Child Care Centre,Inactive,14,Ruskin Avenue,Toronto,ON,M6P 3P8,Province of Ontario
4387,St. Fidelis Early Learning Centre,Child Care Centre,Inactive,9,Bannerman Street,Toronto,ON,M6L 2S5,Province of Ontario
4388,St. Jude Early Learning Centre (Op: Perth Academy for Early Learning),Child Care Centre,Inactive,3251,Weston Road,Toronto,ON,M9M 2T9,Province of Ontario
4389,St. Marcellus Early Learning Centre (Op: Perth Academy for Early Learning),Child Care Centre,Inactive,15,Denfield Street,Toronto,ON,M9R 3H2,Province of Ontario
4390,St. Philip Neri Early Learning Centre (op: Perth Academy),Child Care Centre,Inactive,20,Beverly Hills Drive,Toronto,ON,M3L 1A1,Province of Ontario
4391,Perth Children's House,Child Care Centre,Active,36,Foster Street,Perth,ON,K7H 1R7,Province of Ontario
